Número Documento;Fecha Recepción;cufe;Fecha Emisión;Fecha Vencimiento;Tipo Identificación Adquiriente;Identificación Adquiriente;Nombre Adquiriente; SubTotal;Total Base Imponible;SubTotal Mas Tributos;Total Descuentos; Total Cargos;Total Anticipos;Total;estado;Usuario Creación;Fecha Creación;Descripción Error
CB8210127;2020-09-03 10:07:17.1;4e65842f8307578f037619804cc604ac1110b92c17a2aa5cd49ba7993a6048f9d7a8c85d3dae31a9c2984f17ff6af00e;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;1104708705;JEFFERSON DANIEL VALLEJO LOPEZ;20835.00;20835.00;22502.00;0.00;0.00;0.00;22502.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 10:07:17.1;[ {  "codigo" : "F106",  "valor" : "El dígito de verificación del Adquiriente no corresponde con el documento."}, {  "codigo" : "F113",  "valor" : "El campo [obligacionesAdquiriente] no corresponde con ninguno en la lista de Obligaciones."}, {  "codigo" : "F108",  "valor" : "El valor del [impuesto] es diferente a la suma de los [impuestos] del documento."} ]
CB8210120;2020-09-03 10:07:15.712;7d2c2e4b001185e2bc9acd0efef3adac1f2cca8ec13b3be5191b5baf5549a1d982f6d5070da857ced613f9b4bbcee9c4;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;900368125;UROCENTRO CENTRO UROLOGICO JAVERIANO SAS;10000000.00;10000000.00;11900000.00;0.00;0.00;0.00;11900000.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 10:07:15.712;[ {  "codigo" : "F108",  "valor" : "El valor del [impuesto] es diferente a la suma de los [impuestos] del documento."} ]
CB8210119;2020-09-03 10:07:14.825;edee9acf7db542d2e4fcba0739e80c29095c7002b8991e8ba9a937fedcd4fb2c650f0cacf0d63042ac28962acfebd916;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;900792188;UNIDAD ENDOGASTRO DEL TOLIMA SAS;5000000.00;5000000.00;5950000.00;0.00;0.00;0.00;5950000.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 10:07:14.825;[ {  "codigo" : "F108",  "valor" : "El valor del [impuesto] es diferente a la suma de los [impuestos] del documento."} ]
CB8210116;2020-09-03 10:06:54.466;400248405f49026c49a797caaf54a773fc513c89bf99385938bbab4fd703fc8c290fab18727845a7398a3088b14ba414;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;901148347;ASOCIACION DE RECICLADORES DE OFICIO DE IBAGUE;223866.00;223866.00;266401.00;0.00;0.00;0.00;266401.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 10:06:54.466;[ {  "codigo" : "F108",  "valor" : "El valor del [impuesto] es diferente a la suma de los [impuestos] del documento."} ]
CB8210112;2020-09-03 10:06:05.093;2bbb3d4350c08f49ff6125f31f89a252d32293ca72225207b8a30db6dccf618000be0f5d95cb5f1b5427d7739774a7c8;2020-04-15 00:00:00.0;2020-05-15 00:00:00.0;31;805000427;COOMEVA ENTIDAD PROMOTORA DE SALUD SA;612462.00;0.00;612462.00;0.00;0.00;0.00;612462.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:06:05.094;
CB8210111;2020-09-03 10:06:02.462;e6527a3044c4d7fd66413040a309a9c5845d19e178ee53dc32bb77eb59b944fde14bc61d5770d117b8b8aa8e13815898;2020-04-15 00:00:00.0;2020-05-15 00:00:00.0;31;830003564;ENTIDAD PROMOTORA DE SALUD FAMISANAR SAS;1532000.00;0.00;1532000.00;0.00;0.00;0.00;1532000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:06:02.462;
CB8210110;2020-09-03 10:06:00.126;dec3e410e5e4ac931a5473bac5c752f1d7d07bf8012bd2578de18f42924bb095580463913d8f02336fada3e938969ec5;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:06:00.127;
CC4210433;2020-09-03 22:41:24.126;44dc82f68ba864885bebe3b29968fad2b22f2f1102a6bd3d5833eea62993cc8e7a62378c43f64a00af0943bd64c5d17f;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901021565;EMSSANAR SAS;48602.00;0.00;48602.00;0.00;0.00;0.00;48602.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:24.126;
CC4210431;2020-09-03 22:41:22.438;38ae8e6cc858b3635bf337b3b3b66c097b17bd4d79b5848099b93a2a148f276668167747ac1722cb4fc00bbd54531fb7;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;805000427;COOMEVA EPS SA;2102028196.00;0.00;2102028196.00;0.00;0.00;18222551.00;2083805645.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:22.438;
CC4210432;2020-09-03 22:41:23.269;7de6f6b5d17bbdce32654f5079de4a52e93f8ba137351add08e58e7a45bc5094e034981841a5e931a9d603509003bdb5;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901021565;EMSSANAR SAS;66100.00;0.00;66100.00;0.00;0.00;0.00;66100.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:23.269;
CC4210430;2020-09-03 22:41:21.676;9392bbe0f785121b1666a9e6c2e95853110d51451462d38f8547ed690dadb905b702a2e9f981667509a951fa0d41d560;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901021565;EMSSANAR SAS;43800.00;0.00;43800.00;0.00;0.00;0.00;43800.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:21.677;
CC4210429;2020-09-03 22:41:20.846;fa2e24387165b999e5c5238342a3f1d5debccec9363877b33756d76707be62bb9456825a9ca2ebb140eee55474744853;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;907954.00;0.00;907954.00;0.00;0.00;0.00;907954.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:20.846;
CC4210428;2020-09-03 22:41:19.956;d6a23d2ba6dd7b64e8cf906386be130e34b99f063239ccf8c83993dfbd8ae730e1f3b1ebe4edc27f8863177daa49b6f3;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901021565;EMSSANAR SAS;267757.00;0.00;267757.00;0.00;0.00;0.00;267757.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:19.956;
CC4210427;2020-09-03 22:41:18.946;3744a65ff16912a574838f6797f67bbdd7fca86f7b709e5bfd473a615ee01f3ae01aef2d794953aa909e79748c5b4464;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;860037013;COMPAÑIA MUNDIAL DE SEGUROS SA;58095.00;0.00;58095.00;0.00;0.00;0.00;58095.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:18.946;
CC4210426;2020-09-03 22:41:18.045;bf181e9e4232d72b6cddbc314806e151cdbecd771d77298269f1f9b492060408360b152a8bfe05c207bf914d8281ccbd;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;48912.00;0.00;48912.00;0.00;0.00;0.00;48912.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:18.046;
CC4210425;2020-09-03 22:41:17.178;d665ac9f7ed56c064891ef3e51b0c113c6a5728eb9f1e2d728615dd902b02753935fa5510cbc01afbef174fc64fa1406;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;1857779.00;0.00;1857779.00;0.00;0.00;0.00;1857779.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:17.178;
CC4210424;2020-09-03 22:41:15.594;d1ed93c1c99291a00ec0653730b12975589700b4fa2fd1229bff4238f0262550230e7de30bbc0f2d73b22191a015e3ff;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;890903407;SEGUROS GENERALES SURAMERICANA SA;417833.00;0.00;417833.00;0.00;0.00;0.00;417833.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:15.595;
CC4210423;2020-09-03 22:41:14.745;ce9b6fb08fc5cc322b07caf024fb89adfdae813a416e6af532e1aeac0dfcb0a41b08ad5906999c7f01609feee833936d;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;280000.00;0.00;280000.00;0.00;0.00;0.00;280000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:14.745;
CB8210109;2020-09-03 10:05:58.005;1cfa462536fb8f587d1159da7f556eae554bc52c8ba3d8e8d8e759222f493b2b5f58e6bb71516276c1c794e1130c2382;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:58.005;
CB8210108;2020-09-03 10:05:53.601;9e7d6b1440814571858248650514daf24dc25aa23a885688bcd9c29ec9ddb187b4e18565cee0a6e91d2351eb3bf2acf8;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:53.601;
CB8210107;2020-09-03 10:05:52.204;5a0464689820a3fed1ab9cc044ab60aefb1948006bc2d4fef91af991c8a37d37e5522dc9105e9b963527169b93b56d19;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:52.205;
CB8210106;2020-09-03 10:05:51.173;84b7db6c697f4f85964003b8b0dec74262175812d683c70c98624e1bd684f109c9876777a979617fd7419f42a8244d44;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:51.174;
CB8210098;2020-09-03 10:05:49.045;279dbdae9e2e585ee2200b851d17fb49936b7d6c504f1ad94820d87aef7475418f694d3b5ff138ad50af3c527d1e32d2;2020-04-15 00:00:00.0;2020-05-15 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;4277586.00;0.00;4277586.00;0.00;0.00;0.00;4277586.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:49.045;
CB8210105;2020-09-03 10:05:47.273;93c59331ef3a5e60af1e7b21e33c395a04b567d50e9654c9b0128079bc13bbec59afd0e12d87483785635b36630e4755;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:47.273;
CB8210104;2020-09-03 10:05:42.926;a653e847d1cc8e46deba9de1edad4af7ff95d600a03a5e50e07190d6481bb0b19b690074eeeb4439969fa7cda2ed5d52;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:42.926;
CB8210103;2020-09-03 10:05:41.134;34f7340aac716ef048da5712dc4c7e5e0a41c77193fd3be387d127f4ff055130ef5c19187bf7faf5f9fe797c5db38c8f;2020-04-15 00:00:00.0;2020-05-15 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;127000.00;0.00;127000.00;0.00;0.00;0.00;127000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:41.134;
CB8210102;2020-09-03 10:05:39.769;ab716fa750f1b1518fcd164b7006403821474ae96a095b06b751beddeb404058a1cdd9f4434315aa059bb64f8a2a2975;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:39.77;
CB8210100;2020-09-03 10:05:38.275;f0362c0af45722a8519ad44e4dae4735ccaab0b6b3623a8a00d3a96cfe98d0211c147a034a24b876ee3fa3e7beb8318e;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:38.275;
CB8210093;2020-09-03 10:05:11.312;6958ceeb7a47f56ee34734fedda54d608a8f42318abe59dff2529175d98dffdfd5cac2cc95f20c177501c4517c12c026;2020-04-14 00:00:00.0;2020-05-14 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;2282622.00;0.00;2282622.00;0.00;0.00;0.00;2282622.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:11.312;
CB8210090;2020-09-03 10:05:09.534;21390ed3fe34bede121582fb02e5962eadc9025fb39660cbf4779304ab29ad08b64d1e6b770101d0fe024348b05e09d0;2020-04-14 00:00:00.0;2020-04-14 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;84870.00;0.00;84870.00;0.00;0.00;0.00;84870.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:09.534;
CB8210089;2020-09-03 10:05:07.561;b2f57869baf007baabf87d8defb51acc84f502df467cc02aca196df56570f5c84d36c3ba4d663a1ee0645e74a912564d;2020-04-14 00:00:00.0;2020-04-14 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;84870.00;0.00;84870.00;0.00;0.00;3400.00;81470.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:07.562;
CB8210088;2020-09-03 10:05:06.678;4bd1d9e0055192341b5c6fdc018ffe359e254ce721305e957e13dbd4f26e31d54f4fba628298ee92d3cca23de1ef2d4f;2020-04-14 00:00:00.0;2020-05-14 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;2627498.00;0.00;2627498.00;0.00;0.00;0.00;2627498.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:06.679;
CB8210118;2020-09-03 10:09:03.236;4287580980ee8ef0272629a04c8a08c67226a60b8add77d3fc51376e5407e14d119b34c7485a3c07b183186c3ff3ed30;2020-04-15 00:00:00.0;2020-04-15 00:00:00.0;31;52422438;MARIA CAROLINA GIRALDO LOZANO;2178631.00;2178631.00;2592571.00;0.00;0.00;0.00;2592571.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 10:09:03.236;[ {  "codigo" : "F113",  "valor" : "El campo [obligacionesAdquiriente] no corresponde con ninguno en la lista de Obligaciones."}, {  "codigo" : "F108",  "valor" : "El valor del [impuesto] es diferente a la suma de los [impuestos] del documento."} ]
CB8210165;2020-09-03 10:07:22.364;36f6bc28f070913cac07e3fa5cdd3f3e7976ae0bca8ccc46d761d91713fb6488dc1672577b5b0912432e9490aee5e953;2020-04-16 00:00:00.0;2020-05-16 00:00:00.0;31;805000427;COOMEVA ENTIDAD PROMOTORA DE SALUD SA;26134.00;0.00;26134.00;0.00;0.00;3400.00;22734.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:07:22.364;
CB8210164;2020-09-03 10:07:20.665;53298c36206b0fbce6711b3cc57480d10c1f7e14490bbea11cc588b52ffa77fdbb61ff86cb21bbc1c98ed41fba077c6d;2020-04-16 00:00:00.0;2020-05-16 00:00:00.0;31;805000427;COOMEVA ENTIDAD PROMOTORA DE SALUD SA;23409.00;0.00;23409.00;0.00;0.00;3400.00;20009.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:07:20.665;
CB8210087;2020-09-03 10:05:02.145;a39659da884752e87f137affccea266a1414ff6785ddd017045f52e525e3dfd17024b50f72708a8ab9d2af2d6f9939d1;2020-04-14 00:00:00.0;2020-04-14 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;84870.00;0.00;84870.00;0.00;0.00;0.00;84870.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:02.145;
CB8210086;2020-09-03 10:05:00.814;241d3c433b80b86dfa948b51cc368a83a9b94142d4b13a934fe5494e39842f693a90308eed176e07174540b782fe7c66;2020-04-14 00:00:00.0;2020-04-14 00:00:00.0;31;901323312;UNION SALUD AMERICA;3872714.00;0.00;3872714.00;0.00;0.00;0.00;3872714.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:05:00.815;
CB8210083;2020-09-03 10:04:48.932;496c33dbad6876f4ebb8c784b42e67a5ac9adfdd63655390fbc85c122f4937976bb371e1e0901e14e9db30f029dcd896;2020-04-14 00:00:00.0;2020-04-14 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:04:48.932;
CB8210082;2020-09-03 10:04:47.166;ea3961602b44ff4044da1d817ed13a6bfb7c8ca5918bc81e57ebeed3d4b5b3e53336aa2845878fa2263690db4dae7ec1;2020-04-14 00:00:00.0;2020-04-14 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:04:47.166;
CB8210081;2020-09-03 10:04:44.065;f9f043336c116aec0fd891038226a32140d1b6353d6401bb28021baf0c61c7576626e4ca840be15cf740d3584782ddd4;2020-04-14 00:00:00.0;2020-04-14 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:04:44.065;
CB8210070;2020-09-03 10:04:35.588;0dcca8216178d298884525854c6bd52d22f181fa2ed8e45e02c877cf88397e6669e1c3fb4d39cfddaa7b1b4df10c7e99;2020-04-13 00:00:00.0;2020-04-13 00:00:00.0;31;830003564;ENTIDAD PROMOTORA DE SALUD FAMISANAR SAS;36154058.00;0.00;36154058.00;0.00;0.00;0.00;36154058.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:04:35.588;
CB8210084;2020-09-03 10:04:53.723;f249aaed2beb423aaab47400a88dd9095aa64baa9377226dca19feff06f6583f151ffcddc4cd94bc2aa08a192aa95c75;2020-04-14 00:00:00.0;2020-05-14 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;2217490.00;0.00;2217490.00;0.00;0.00;200000.00;1965561.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 10:04:53.724;[ {  "codigo" : "F108",  "valor" : "El valor del [total] es diferente a la suma de los [totales] del documento."} ]
CB8210066;2020-09-03 10:04:02.885;4fe97412d524a90c8ba13813ca43d31d4b676997002feb6654439e085597019eb0bacb67a4580ec1fdab7a7124617f7e;2020-04-13 00:00:00.0;2020-04-13 00:00:00.0;31;901323312;UNION SALUD AMERICA;2633435.00;0.00;2633435.00;0.00;0.00;0.00;2633435.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:04:02.886;
CB8210067;2020-09-03 10:04:14.477;342eab7d9f8fcc1d1929e1794da74ba8d01d8185571ac6538546be0806ed3b5f0264be1ec8cc6539868e47324d6f82d4;2020-04-13 00:00:00.0;2020-05-13 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;6848020.00;0.00;6848020.00;0.00;0.00;0.00;6848020.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:04:14.477;
CB8210063;2020-09-03 10:03:31.877;6cc00b9ef40894da8e1c86e7bae5017d2b17060507bcec979fa45a68509bf67902fd97bb627be90d9e58d9debe2ce4cb;2020-04-13 00:00:00.0;2020-05-13 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;3903550.00;0.00;3903550.00;0.00;0.00;251929.00;3651621.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:03:31.877;
CB8210065;2020-09-03 10:03:51.559;b58b5b9355f9347895c4a59a206edcb6215844c9b13f759be0e9227902660d66cd48a1ea69704a8e61b9591d18429275;2020-04-13 00:00:00.0;2020-04-13 00:00:00.0;31;901323312;UNION SALUD AMERICA;9887979.00;0.00;9887979.00;0.00;0.00;0.00;9887979.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:03:51.56;
CB8210064;2020-09-03 10:03:41.416;458830cef2ac68ed84a65d7fecc2914d85de552ab3bb5a4164edaeaacb17ae83d77bcc654d987e8582f8918ba0bde7aa;2020-04-13 00:00:00.0;2020-04-13 00:00:00.0;31;830003564;ENTIDAD PROMOTORA DE SALUD FAMISANAR SAS;1447911.00;0.00;1447911.00;0.00;0.00;0.00;1447911.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:03:41.416;
CB8210061;2020-09-03 10:03:30.906;968e66c034abc7ac8e7c969a439458863b9fc40937530e090141adc6496e2d6063bf092fa61e08dc6804f6c3a6fff0ef;2020-04-13 00:00:00.0;2020-04-13 00:00:00.0;31;830003564;ENTIDAD PROMOTORA DE SALUD FAMISANAR SAS;1462821.00;0.00;1462821.00;0.00;0.00;0.00;1462821.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:03:30.906;
CB8210059;2020-09-03 10:03:22.238;3effcdb99402fff5e4c6816c791590aaab95274ca58430757caf6ebdbb3a1aad45c663aaa0cdf5e5ed9d705942bd510b;2020-04-13 00:00:00.0;2020-05-13 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;6865540.00;0.00;6865540.00;0.00;0.00;0.00;6865540.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:03:22.238;
CB8210057;2020-09-03 10:03:10.841;2645dce89402065c2d8715d91970cfb321970912caef70434670df939f0f8f7334993bc17928c13a4bdfb64b2dfd870e;2020-04-13 00:00:00.0;2020-05-13 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;6295300.00;0.00;6295300.00;0.00;0.00;0.00;6295300.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:03:10.841;
CB8210058;2020-09-03 10:03:13.067;9d68ab88c7ba7c7bcfc1368b7649b6034e9ccb58291369d129e894be1798eac78e3fc22f2976fd9f02a6df8fb24e8af4;2020-04-13 00:00:00.0;2020-04-13 00:00:00.0;31;901323312;UNION SALUD AMERICA;1001259.00;0.00;1001259.00;0.00;0.00;0.00;1001259.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:03:13.068;
CB8210055;2020-09-03 10:03:04.117;f003b2fec8072dedd30c35b631eeaa29c238d4383603383ae681d98f6f09407abd5e17628fdbf1cac68283d4c634977f;2020-04-12 00:00:00.0;2020-05-12 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;47740.00;0.00;47740.00;0.00;0.00;0.00;47740.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:03:04.117;
CB8210042;2020-09-03 10:02:24.375;c02a9d4e3132735c612fee43181975554e69aa41521c95f792f1253c30aaad8d24ef8c4f66bd804d427a078f76663b5e;2020-04-12 00:00:00.0;2020-05-12 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;176975.00;0.00;176975.00;0.00;0.00;0.00;176975.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:02:24.375;
CB8210043;2020-09-03 10:02:26.934;2a218878cf756b9e831effdcda7f6689abb43b220aec6e45924603605e396a8beac30e2a66fab554623b3e1fd6537415;2020-04-12 00:00:00.0;2020-04-12 00:00:00.0;31;901323312;UNION SALUD AMERICA;27098.00;0.00;27098.00;0.00;0.00;0.00;27098.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:02:26.935;
CB8210041;2020-09-03 10:02:22.606;de0f5135a9d0cc1036d9e277cc40267b8fe11294fc83d8351a366a45627191109c5216593a0a718bae506c3726db19be;2020-04-12 00:00:00.0;2020-04-12 00:00:00.0;31;830003564;ENTIDAD PROMOTORA DE SALUD FAMISANAR SAS;244824.00;0.00;244824.00;0.00;0.00;0.00;244824.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:02:22.607;
CB8210040;2020-09-03 10:02:14.666;79f2763d45e8646f9a87a05b59dcf814dc494ee45457540287d780fbe8754d6e8436eea0063b5f22a89fd7168cfd3d61;2020-04-12 00:00:00.0;2020-05-12 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;886785.00;0.00;886785.00;0.00;0.00;0.00;886785.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:02:14.666;
CB8210039;2020-09-03 10:02:11.884;4ea24d1e5bd454311bbff7daea165ba1da5df992eefd04ab236ee2f4cdadcfa6c0a18141e6ba84a535901ee9f57e6b23;2020-04-12 00:00:00.0;2020-04-12 00:00:00.0;31;901323312;UNION SALUD AMERICA;178698.00;0.00;178698.00;0.00;0.00;0.00;178698.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:02:11.884;
CB8210038;2020-09-03 10:02:03.021;a0c7e9371ab678057a3e2dd3785bc525dba1b3805b5ddbb622eaaae8bf4c4f1486ac6d92a926b7fffab22adfc754a2d0;2020-04-12 00:00:00.0;2020-04-12 00:00:00.0;31;901323312;UNION SALUD AMERICA;234488.00;0.00;234488.00;0.00;0.00;0.00;234488.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:02:03.021;
CB8210037;2020-09-03 10:02:00.874;40ff7eec19b479728246e7f3393221a0adfd32c4122cfa31f3697f4b9140ea8a5e5b80ac4f0f9614e2a1e13ad063cc5c;2020-04-12 00:00:00.0;2020-04-12 00:00:00.0;31;901323312;UNION SALUD AMERICA;241930.00;0.00;241930.00;0.00;0.00;0.00;241930.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:02:00.874;
CB8210036;2020-09-03 10:01:58.734;8d14ee53b39814574f3f0532aa363e4d486a5834124f9a9e6d05faae64aa557a79c44b349337bea2885d9317575bc538;2020-04-12 00:00:00.0;2020-04-12 00:00:00.0;31;901323312;UNION SALUD AMERICA;65654.00;0.00;65654.00;0.00;0.00;0.00;65654.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:01:58.734;
CB8210035;2020-09-03 10:01:58.348;815fd30d4905d007f94bd1eb90ad217ac4bf034ac2b2dbe2534b9dc9451fe034d5624413bc75f34fa2f21fe15f2e3945;2020-04-11 00:00:00.0;2020-04-11 00:00:00.0;31;901323312;UNION SALUD AMERICA;3688575.00;0.00;3688575.00;0.00;0.00;0.00;3688575.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 10:01:58.349;
